Block,TreeID,PanicleID,Cultivar,L,W,T,Weight,Brix,SamplingRole,Comment,Timestamp
21,1,1,Calypso,,,,,,Core,,
21,1,2,Calypso,,,,,,Drop,,
21,1,3,Calypso,,,,,,Core,,
21,1,4,Calypso,,,,,,Core,,
21,1,5,Calypso,,,,,,Core,,
21,2,1,Calypso,,,,,,Drop,,
21,2,3,Calypso,,,,,,Core,,
21,2,4,Calypso,,,,,,Drop,,
21,2,5,Calypso,,,,,,Drop,,
21,2,5p,Calypso,,,,,,Core,,
21,3,1,Calypso,,,,,,Core,,
21,3,2,Calypso,,,,,,Core,,
21,3,3,Calypso,,,,,,Core,,
21,4,1,Calypso,,,,,,Drop,,
21,4,2,Calypso,,,,,,Core,,
21,4,3,Calypso,,,,,,Core,,
21,4,4,Calypso,,,,,,Core,,
21,4,5,Calypso,,,,,,Core,,
21,4,6,Calypso,,,,,,Core,,
21,4,7,Calypso,,,,,,Core,,
21,4,8,Calypso,,,,,,Core,,
21,5,1,Calypso,,,,,,Core,,
21,5,2,Calypso,,,,,,Core,,
21,6,1,Calypso,,,,,,Drop,,
21,6,2,Calypso,,,,,,Drop,,
21,6,3,Calypso,,,,,,Core,,
21,7,1,Calypso,,,,,,Core,,
21,7,2,Calypso,,,,,,Core,,
21,7,3,Calypso,,,,,,Core,,
21,7,4,Calypso,,,,,,Core,,
21,8,1,Calypso,,,,,,Drop,,
21,8,2,Calypso,,,,,,Observation,,
21,8,3,Calypso,,,,,,Core,,
21,8,4,Calypso,,,,,,Core,,
21,9,1,Calypso,,,,,,Drop,,
21,10,1,Calypso,,,,,,Core,,
21,10,2,Calypso,,,,,,Core,,
21,10,3,Calypso,,,,,,Core,,
21,10,4,Calypso,,,,,,Core,,
21,10,5,Calypso,,,,,,Core,,
21,11,1,Calypso,,,,,,Core,,
21,11,2,Calypso,,,,,,Core,,
21,11,3,Calypso,,,,,,Core,,
21,11,4,Calypso,,,,,,Core,,
21,11,5,Calypso,,,,,,Core,,
21,12,1,Calypso,,,,,,Core,,
21,12,2,Calypso,,,,,,Drop,,
21,12,3,Calypso,,,,,,Core,,
21,12,4,Calypso,,,,,,Core,,
21,12,5,Calypso,,,,,,Core,,
21,12,6,Calypso,,,,,,Drop,,
21,12,7,Calypso,,,,,,Core,,
32,1,1,Calypso,,,,,,Core,,
32,1,2,Calypso,,,,,,Core,,
32,1,3,Calypso,,,,,,Core,,
32,1,4,Calypso,,,,,,Core,,
32,1,5,Calypso,,,,,,Core,,
32,1,6,Calypso,,,,,,Core,,
32,1,7,Calypso,,,,,,Core,,
32,1,8,Calypso,,,,,,Drop,,
32,1,9,Calypso,,,,,,Core,,
32,1,10,Calypso,,,,,,Core,,
32,2,1,Calypso,,,,,,Core,,
32,2,2,Calypso,,,,,,Core,,
32,2,3,Calypso,,,,,,Drop,,
32,2,4,Calypso,,,,,,Core,,
32,2,5,Calypso,,,,,,Core,,
32,3,1,Calypso,,,,,,Core,,
32,3,2,Calypso,,,,,,Core,,
32,3,3,Calypso,,,,,,Drop,,
32,3,4,Calypso,,,,,,Core,,
32,4,1,Calypso,,,,,,Core,,
32,4,2,Calypso,,,,,,Core,,
32,5,1,Calypso,,,,,,Core,,
32,5,2,Calypso,,,,,,Drop,,
32,6,1,Calypso,,,,,,Core,,
32,6,2,Calypso,,,,,,Core,,
32,6,3a,Calypso,,,,,,Drop,,
32,6,3b,Calypso,,,,,,Core,,
32,6,4,Calypso,,,,,,Core,,
32,6,5,Calypso,,,,,,Drop,,
32,6,6,Calypso,,,,,,Core,,
32,6,7,Calypso,,,,,,Core,,
32,6,8a,Calypso,,,,,,Core,,
32,6,8b,Calypso,,,,,,Core,,
32,6,8c,Calypso,,,,,,Core,,
32,6,9,Calypso,,,,,,Core,,
32,6,10,Calypso,,,,,,Core,,
32,6,11,Calypso,,,,,,Core,,
32,6,12,Calypso,,,,,,Drop,,
32,6,13,Calypso,,,,,,Core,,
32,6,14,Calypso,,,,,,Core,,
32,7,1,Calypso,,,,,,Core,,
32,7,2,Calypso,,,,,,Core,,
32,7,3,Calypso,,,,,,Core,,
32,7,4,Calypso,,,,,,Core,,
32,7,5,Calypso,,,,,,Core,,
32,8,1,Calypso,,,,,,Core,,
32,8,2,Calypso,,,,,,Core,,
32,8,3,Calypso,,,,,,Core,,
32,9,1,Calypso,,,,,,Drop,,
32,9,2,Calypso,,,,,,Core,,
32,10,1,Calypso,,,,,,Core,,
32,10,2,Calypso,,,,,,Drop,,
32,10,2p,Calypso,,,,,,Replaced,,
32,10,3,Calypso,,,,,,Core,,
32,10,4,Calypso,,,,,,Core,,
32,10,5,Calypso,,,,,,Core,,
